M49_Code,ISO_Code,Country,region_m49,Region_Name,Grouping,include
196,CYP,Cyprus,747,Western Asia (M49) and Northern Africa (M49),2.1-Regional (SDG),1
196,CYP,Cyprus,1,World,1.0-Global,1
203,CZE,Czechia,1,World,1.0-Global,1
203,CZE,Czechia,150,Europe (M49),2.1-Regional (SDG),1
203,CZE,Czechia,514,Developed regions (MDG),2.5-Regional (MDG),1
203,CZE,Czechia,513,Northern America (M49) and Europe (M49),2.1-Regional (SDG),1
203,CZE,Czechia,151,Eastern Europe (M49),2.4-Regional (M49),1
384,CIV,Côte d'Ivoire,2,Africa (M49),2.4-Regional (M49),1
384,CIV,Côte d'Ivoire,1,World,1.0-Global,1
384,CIV,Côte d'Ivoire,515,Developing regions (MDG),2.5-Regional (MDG),1
384,CIV,Côte d'Ivoire,738,Sub-Saharan Africa (MDG),2.5-Regional (MDG),1
384,CIV,Côte d'Ivoire,202,Sub-Saharan Africa (M49),2.1-Regional (SDG),1
384,CIV,Côte d'Ivoire,11,Western Africa (M49),2.4-Regional (M49),1
408,PRK,Democratic People's Republic of Korea,1,World,1.0-Global,1
408,PRK,Democratic People's Republic of Korea,515,Developing regions (MDG),2.5-Regional (MDG),1
408,PRK,Democratic People's Republic of Korea,30,Eastern Asia (M49),2.1-Regional (SDG),1
408,PRK,Democratic People's Republic of Korea,518,Eastern Asia (MDG),2.5-Regional (MDG),1
408,PRK,Democratic People's Republic of Korea,753,Eastern Asia (M49) and South-eastern Asia (MDG=M49),2.1-Regional (SDG),1
408,PRK,Democratic People's Republic of Korea,142,Asia (M49),2.4-Regional (M49),1
180,COD,Democratic Republic of the Congo,2,Africa (M49),2.4-Regional (M49),1
180,COD,Democratic Republic of the Congo,1,World,1.0-Global,1
180,COD,Democratic Republic of the Congo,515,Developing regions (MDG),2.5-Regional (MDG),1
180,COD,Democratic Republic of the Congo,199,Least Developed Countries (LDCs),2.3-Other groupings,1
180,COD,Democratic Republic of the Congo,738,Sub-Saharan Africa (MDG),2.5-Regional (MDG),1
180,COD,Democratic Republic of the Congo,17,Middle Africa (M49),2.4-Regional (M49),1
180,COD,Democratic Republic of the Congo,202,Sub-Saharan Africa (M49),2.1-Regional (SDG),1
208,DNK,Denmark,1,World,1.0-Global,1
208,DNK,Denmark,150,Europe (M49),2.1-Regional (SDG),1
208,DNK,Denmark,513,Northern America (M49) and Europe (M49),2.1-Regional (SDG),1
208,DNK,Denmark,154,Northern Europe (M49),2.4-Regional (M49),1
208,DNK,Denmark,514,Developed regions (MDG),2.5-Regional (MDG),1
262,DJI,Djibouti,2,Africa (M49),2.4-Regional (M49),1
262,DJI,Djibouti,202,Sub-Saharan Africa (M49),2.1-Regional (SDG),1
262,DJI,Djibouti,199,Least Developed Countries (LDCs),2.3-Other groupings,1
262,DJI,Djibouti,14,Eastern Africa (M49),2.4-Regional (M49),1
262,DJI,Djibouti,1,World,1.0-Global,1
262,DJI,Djibouti,738,Sub-Saharan Africa (MDG),2.5-Regional (MDG),1
262,DJI,Djibouti,515,Developing regions (MDG),2.5-Regional (MDG),1
212,DMA,Dominica,419,Latin America and the Caribbean (MDG=M49),2.1-Regional (SDG),1
212,DMA,Dominica,419,Latin America and the Caribbean (MDG=M49),2.5-Regional (MDG),1
212,DMA,Dominica,515,Developing regions (MDG),2.5-Regional (MDG),1
212,DMA,Dominica,1,World,1.0-Global,1
212,DMA,Dominica,19,Americas (m49),2.4-Regional (M49),1
212,DMA,Dominica,29,Caribbean (M49),2.4-Regional (M49),1
212,DMA,Dominica,722,Small island developing States (SIDS),2.3-Other groupings,1
214,DOM,Dominican Republic,419,Latin America and the Caribbean (MDG=M49),2.1-Regional (SDG),1
214,DOM,Dominican Republic,419,Latin America and the Caribbean (MDG=M49),2.5-Regional (MDG),1
214,DOM,Dominican Republic,722,Small island developing States (SIDS),2.3-Other groupings,1
214,DOM,Dominican Republic,1,World,1.0-Global,1
214,DOM,Dominican Republic,29,Caribbean (M49),2.4-Regional (M49),1
214,DOM,Dominican Republic,19,Americas (m49),2.4-Regional (M49),1
214,DOM,Dominican Republic,515,Developing regions (MDG),2.5-Regional (MDG),1
218,ECU,Ecuador,419,Latin America and the Caribbean (MDG=M49),2.5-Regional (MDG),1
218,ECU,Ecuador,5,South America (M49),2.4-Regional (M49),1
218,ECU,Ecuador,19,Americas (m49),2.4-Regional (M49),1
218,ECU,Ecuador,1,World,1.0-Global,1
218,ECU,Ecuador,419,Latin America and the Caribbean (MDG=M49),2.1-Regional (SDG),1
218,ECU,Ecuador,515,Developing regions (MDG),2.5-Regional (MDG),1
818,EGY,Egypt,2,Africa (M49),2.4-Regional (M49),1
818,EGY,Egypt,15,Northern Africa (M49),2.1-Regional (SDG),1
818,EGY,Egypt,515,Developing regions (MDG),2.5-Regional (MDG),1
818,EGY,Egypt,747,Western Asia (M49) and Northern Africa (M49),2.1-Regional (SDG),1
818,EGY,Egypt,1,World,1.0-Global,1
818,EGY,Egypt,746,Northern Africa (MDG),2.5-Regional (MDG),1
222,SLV,El Salvador,1,World,1.0-Global,1
222,SLV,El Salvador,419,Latin America and the Caribbean (MDG=M49),2.1-Regional (SDG),1
222,SLV,El Salvador,19,Americas (m49),2.4-Regional (M49),1
222,SLV,El Salvador,515,Developing regions (MDG),2.5-Regional (MDG),1
222,SLV,El Salvador,419,Latin America and the Caribbean (MDG=M49),2.5-Regional (MDG),1
222,SLV,El Salvador,13,Central America (M49),2.4-Regional (M49),1
226,GNQ,Equatorial Guinea,202,Sub-Saharan Africa (M49),2.1-Regional (SDG),1
226,GNQ,Equatorial Guinea,1,World,1.0-Global,1
226,GNQ,Equatorial Guinea,738,Sub-Saharan Africa (MDG),2.5-Regional (MDG),1
226,GNQ,Equatorial Guinea,17,Middle Africa (M49),2.4-Regional (M49),1
226,GNQ,Equatorial Guinea,199,Least Developed Countries (LDCs),2.3-Other groupings,1
226,GNQ,Equatorial Guinea,515,Developing regions (MDG),2.5-Regional (MDG),1
226,GNQ,Equatorial Guinea,2,Africa (M49),2.4-Regional (M49),1
232,ERI,Eritrea,515,Developing regions (MDG),2.5-Regional (MDG),1
232,ERI,Eritrea,1,World,1.0-Global,1
232,ERI,Eritrea,202,Sub-Saharan Africa (M49),2.1-Regional (SDG),1
232,ERI,Eritrea,199,Least Developed Countries (LDCs),2.3-Other groupings,1
232,ERI,Eritrea,14,Eastern Africa (M49),2.4-Regional (M49),1
232,ERI,Eritrea,738,Sub-Saharan Africa (MDG),2.5-Regional (MDG),1
232,ERI,Eritrea,2,Africa (M49),2.4-Regional (M49),1
233,EST,Estonia,154,Northern Europe (M49),2.4-Regional (M49),1
233,EST,Estonia,513,Northern America (M49) and Europe (M49),2.1-Regional (SDG),1
233,EST,Estonia,150,Europe (M49),2.1-Regional (SDG),1
233,EST,Estonia,514,Developed regions (MDG),2.5-Regional (MDG),1
233,EST,Estonia,1,World,1.0-Global,1
231,ETH,Ethiopia,202,Sub-Saharan Africa (M49),2.1-Regional (SDG),1
231,ETH,Ethiopia,515,Developing regions (MDG),2.5-Regional (MDG),1
231,ETH,Ethiopia,14,Eastern Africa (M49),2.4-Regional (M49),1
231,ETH,Ethiopia,2,Africa (M49),2.4-Regional (M49),1
231,ETH,Ethiopia,1,World,1.0-Global,1
231,ETH,Ethiopia,738,Sub-Saharan Africa (MDG),2.5-Regional (MDG),1
231,ETH,Ethiopia,432,Landlocked developing countries (LLDCs),2.3-Other groupings,1
231,ETH,Ethiopia,199,Least Developed Countries (LDCs),2.3-Other groupings,1
238,FLK,Falkland Islands (Malvinas),419,Latin America and the Caribbean (MDG=M49),2.1-Regional (SDG),0
238,FLK,Falkland Islands (Malvinas),419,Latin America and the Caribbean (MDG=M49),2.5-Regional (MDG),0
238,FLK,Falkland Islands (Malvinas),5,South America (M49),2.4-Regional (M49),0
238,FLK,Falkland Islands (Malvinas),19,Americas (m49),2.4-Regional (M49),0
238,FLK,Falkland Islands (Malvinas),1,World,1.0-Global,0
238,FLK,Falkland Islands (Malvinas),515,Developing regions (MDG),2.5-Regional (MDG),0
234,FRO,Faroe Islands,513,Northern America (M49) and Europe (M49),2.1-Regional (SDG),1
234,FRO,Faroe Islands,154,Northern Europe (M49),2.4-Regional (M49),1
234,FRO,Faroe Islands,1,World,1.0-Global,1
234,FRO,Faroe Islands,150,Europe (M49),2.1-Regional (SDG),1
234,FRO,Faroe Islands,514,Developed regions (MDG),2.5-Regional (MDG),1
242,FJI,Fiji,9,Oceania (M49),2.1-Regional (SDG),1
242,FJI,Fiji,515,Developing regions (MDG),2.5-Regional (MDG),1
242,FJI,Fiji,543,Oceania (M49) excluding Australia and New Zealand (M49),2.1-Regional (SDG),1
242,FJI,Fiji,54,Melanesia (M49),2.4-Regional (M49),1
242,FJI,Fiji,1,World,1.0-Global,1
242,FJI,Fiji,722,Small island developing States (SIDS),2.3-Other groupings,1
242,FJI,Fiji,543,Oceania (MDG),2.5-Regional (MDG),1
246,FIN,Finland,150,Europe (M49),2.1-Regional (SDG),1
246,FIN,Finland,513,Northern America (M49) and Europe (M49),2.1-Regional (SDG),1
246,FIN,Finland,154,Northern Europe (M49),2.4-Regional (M49),1
246,FIN,Finland,1,World,1.0-Global,1
246,FIN,Finland,514,Developed regions (MDG),2.5-Regional (MDG),1
250,FRA,France,1,World,1.0-Global,1
250,FRA,France,513,Northern America (M49) and Europe (M49),2.1-Regional (SDG),1
250,FRA,France,150,Europe (M49),2.1-Regional (SDG),1
250,FRA,France,155,Western Europe (M49),2.4-Regional (M49),1
250,FRA,France,514,Developed regions (MDG),2.5-Regional (MDG),1
254,GUF,French Guiana,419,Latin America and the Caribbean (MDG=M49),2.1-Regional (SDG),0
254,GUF,French Guiana,515,Developing regions (MDG),2.5-Regional (MDG),0
254,GUF,French Guiana,419,Latin America and the Caribbean (MDG=M49),2.5-Regional (MDG),0
254,GUF,French Guiana,5,South America (M49),2.4-Regional (M49),0
254,GUF,French Guiana,19,Americas (m49),2.4-Regional (M49),0
254,GUF,French Guiana,1,World,1.0-Global,0
258,PYF,French Polynesia,543,Oceania (M49) excluding Australia and New Zealand (M49),2.1-Regional (SDG),0
258,PYF,French Polynesia,722,Small island developing States (SIDS),2.3-Other groupings,0
258,PYF,French Polynesia,515,Developing regions (MDG),2.5-Regional (MDG),0
258,PYF,French Polynesia,9,Oceania (M49),2.1-Regional (SDG),0
258,PYF,French Polynesia,61,Polynesia (M49),2.4-Regional (M49),0
258,PYF,French Polynesia,543,Oceania (MDG),2.5-Regional (MDG),0
258,PYF,French Polynesia,1,World,1.0-Global,0
260,ATF,French Southern and Antarctic Territories,515,Developing regions (MDG),2.5-Regional (MDG),0
260,ATF,French Southern and Antarctic Territories,2,Africa (M49),2.4-Regional (M49),0
260,ATF,French Southern and Antarctic Territories,202,Sub-Saharan Africa (M49),2.1-Regional (SDG),0
260,ATF,French Southern and Antarctic Territories,14,Eastern Africa (M49),2.4-Regional (M49),0
260,ATF,French Southern and Antarctic Territories,738,Sub-Saharan Africa (MDG),2.5-Regional (MDG),0
260,ATF,French Southern and Antarctic Territories,1,World,1.0-Global,0
266,GAB,Gabon,2,Africa (M49),2.4-Regional (M49),1
266,GAB,Gabon,17,Middle Africa (M49),2.4-Regional (M49),1
266,GAB,Gabon,1,World,1.0-Global,1
266,GAB,Gabon,202,Sub-Saharan Africa (M49),2.1-Regional (SDG),1
266,GAB,Gabon,738,Sub-Saharan Africa (MDG),2.5-Regional (MDG),1
266,GAB,Gabon,515,Developing regions (MDG),2.5-Regional (MDG),1
270,GMB,Gambia,2,Africa (M49),2.4-Regional (M49),1
270,GMB,Gambia,11,Western Africa (M49),2.4-Regional (M49),1
270,GMB,Gambia,199,Least Developed Countries (LDCs),2.3-Other groupings,1
270,GMB,Gambia,738,Sub-Saharan Africa (MDG),2.5-Regional (MDG),1
270,GMB,Gambia,1,World,1.0-Global,1
270,GMB,Gambia,515,Developing regions (MDG),2.5-Regional (MDG),1
270,GMB,Gambia,202,Sub-Saharan Africa (M49),2.1-Regional (SDG),1
268,GEO,Georgia,142,Asia (M49),2.4-Regional (M49),1
268,GEO,Georgia,515,Developing regions (MDG),2.5-Regional (MDG),1
268,GEO,Georgia,135,Caucasus and Central Asia (MDG),2.5-Regional (MDG),1
268,GEO,Georgia,747,Western Asia (M49) and Northern Africa (M49),2.1-Regional (SDG),1
268,GEO,Georgia,1,World,1.0-Global,1
268,GEO,Georgia,145,Western Asia (M49),2.1-Regional (SDG),1
276,DEU,Germany,155,Western Europe (M49),2.4-Regional (M49),1
276,DEU,Germany,514,Developed regions (MDG),2.5-Regional (MDG),1
276,DEU,Germany,513,Northern America (M49) and Europe (M49),2.1-Regional (SDG),1
276,DEU,Germany,1,World,1.0-Global,1
276,DEU,Germany,150,Europe (M49),2.1-Regional (SDG),1
288,GHA,Ghana,1,World,1.0-Global,1
288,GHA,Ghana,11,Western Africa (M49),2.4-Regional (M49),1
288,GHA,Ghana,515,Developing regions (MDG),2.5-Regional (MDG),1
288,GHA,Ghana,738,Sub-Saharan Africa (MDG),2.5-Regional (MDG),1
288,GHA,Ghana,2,Africa (M49),2.4-Regional (M49),1
288,GHA,Ghana,202,Sub-Saharan Africa (M49),2.1-Regional (SDG),1
292,GIB,Gibraltar,514,Developed regions (MDG),2.5-Regional (MDG),0
292,GIB,Gibraltar,39,Southern Europe (M49),2.4-Regional (M49),0
292,GIB,Gibraltar,513,Northern America (M49) and Europe (M49),2.1-Regional (SDG),0
292,GIB,Gibraltar,1,World,1.0-Global,0
292,GIB,Gibraltar,150,Europe (M49),2.1-Regional (SDG),0
300,GRC,Greece,39,Southern Europe (M49),2.4-Regional (M49),1
300,GRC,Greece,514,Developed regions (MDG),2.5-Regional (MDG),1
300,GRC,Greece,513,Northern America (M49) and Europe (M49),2.1-Regional (SDG),1
300,GRC,Greece,150,Europe (M49),2.1-Regional (SDG),1
300,GRC,Greece,1,World,1.0-Global,1
304,GRL,Greenland,21,Northern America (M49),2.1-Regional (SDG),0
304,GRL,Greenland,1,World,1.0-Global,0
304,GRL,Greenland,514,Developed regions (MDG),2.5-Regional (MDG),0
304,GRL,Greenland,19,Americas (m49),2.4-Regional (M49),0
304,GRL,Greenland,513,Northern America (M49) and Europe (M49),2.1-Regional (SDG),0
308,GRD,Grenada,722,Small island developing States (SIDS),2.3-Other groupings,1
308,GRD,Grenada,515,Developing regions (MDG),2.5-Regional (MDG),1
308,GRD,Grenada,29,Caribbean (M49),2.4-Regional (M49),1
308,GRD,Grenada,419,Latin America and the Caribbean (MDG=M49),2.5-Regional (MDG),1
308,GRD,Grenada,419,Latin America and the Caribbean (MDG=M49),2.1-Regional (SDG),1
308,GRD,Grenada,19,Americas (m49),2.4-Regional (M49),1
308,GRD,Grenada,1,World,1.0-Global,1
312,GLP,Guadeloupe,19,Americas (m49),2.4-Regional (M49),0
312,GLP,Guadeloupe,419,Latin America and the Caribbean (MDG=M49),2.1-Regional (SDG),0
312,GLP,Guadeloupe,419,Latin America and the Caribbean (MDG=M49),2.5-Regional (MDG),0
312,GLP,Guadeloupe,29,Caribbean (M49),2.4-Regional (M49),0
312,GLP,Guadeloupe,1,World,1.0-Global,0
312,GLP,Guadeloupe,515,Developing regions (MDG),2.5-Regional (MDG),0
316,GUM,Guam,722,Small island developing States (SIDS),2.3-Other groupings,0
316,GUM,Guam,543,Oceania (MDG),2.5-Regional (MDG),0
316,GUM,Guam,515,Developing regions (MDG),2.5-Regional (MDG),0
316,GUM,Guam,57,Micronesia (M49),2.4-Regional (M49),0
316,GUM,Guam,9,Oceania (M49),2.1-Regional (SDG),0
316,GUM,Guam,543,Oceania (M49) excluding Australia and New Zealand (M49),2.1-Regional (SDG),0
316,GUM,Guam,1,World,1.0-Global,0
320,GTM,Guatemala,419,Latin America and the Caribbean (MDG=M49),2.5-Regional (MDG),1
320,GTM,Guatemala,1,World,1.0-Global,1
320,GTM,Guatemala,19,Americas (m49),2.4-Regional (M49),1
320,GTM,Guatemala,13,Central America (M49),2.4-Regional (M49),1
320,GTM,Guatemala,515,Developing regions (MDG),2.5-Regional (MDG),1
320,GTM,Guatemala,419,Latin America and the Caribbean (MDG=M49),2.1-Regional (SDG),1
831,GGY,Guernsey,154,Northern Europe (M49),2.4-Regional (M49),0
831,GGY,Guernsey,150,Europe (M49),2.1-Regional (SDG),0
831,GGY,Guernsey,1,World,1.0-Global,0
831,GGY,Guernsey,513,Northern America (M49) and Europe (M49),2.1-Regional (SDG),0
831,GGY,Guernsey,514,Developed regions (MDG),2.5-Regional (MDG),0
324,GIN,Guinea,11,Western Africa (M49),2.4-Regional (M49),1
324,GIN,Guinea,199,Least Developed Countries (LDCs),2.3-Other groupings,1
324,GIN,Guinea,515,Developing regions (MDG),2.5-Regional (MDG),1
324,GIN,Guinea,2,Africa (M49),2.4-Regional (M49),1
324,GIN,Guinea,1,World,1.0-Global,1
324,GIN,Guinea,738,Sub-Saharan Africa (MDG),2.5-Regional (MDG),1
324,GIN,Guinea,202,Sub-Saharan Africa (M49),2.1-Regional (SDG),1
624,GNB,Guinea-Bissau,515,Developing regions (MDG),2.5-Regional (MDG),1
624,GNB,Guinea-Bissau,1,World,1.0-Global,1
624,GNB,Guinea-Bissau,722,Small island developing States (SIDS),2.3-Other groupings,1
624,GNB,Guinea-Bissau,2,Africa (M49),2.4-Regional (M49),1
624,GNB,Guinea-Bissau,202,Sub-Saharan Africa (M49),2.1-Regional (SDG),1
624,GNB,Guinea-Bissau,199,Least Developed Countries (LDCs),2.3-Other groupings,1
624,GNB,Guinea-Bissau,11,Western Africa (M49),2.4-Regional (M49),1
624,GNB,Guinea-Bissau,738,Sub-Saharan Africa (MDG),2.5-Regional (MDG),1
328,GUY,Guyana,1,World,1.0-Global,1
328,GUY,Guyana,515,Developing regions (MDG),2.5-Regional (MDG),1
328,GUY,Guyana,19,Americas (m49),2.4-Regional (M49),1
328,GUY,Guyana,722,Small island developing States (SIDS),2.3-Other groupings,1
328,GUY,Guyana,5,South America (M49),2.4-Regional (M49),1
328,GUY,Guyana,419,Latin America and the Caribbean (MDG=M49),2.1-Regional (SDG),1
328,GUY,Guyana,419,Latin America and the Caribbean (MDG=M49),2.5-Regional (MDG),1
332,HTI,Haiti,419,Latin America and the Caribbean (MDG=M49),2.1-Regional (SDG),1
332,HTI,Haiti,515,Developing regions (MDG),2.5-Regional (MDG),1
332,HTI,Haiti,199,Least Developed Countries (LDCs),2.3-Other groupings,1
332,HTI,Haiti,19,Americas (m49),2.4-Regional (M49),1
332,HTI,Haiti,29,Caribbean (M49),2.4-Regional (M49),1
332,HTI,Haiti,722,Small island developing States (SIDS),2.3-Other groupings,1
332,HTI,Haiti,419,Latin America and the Caribbean (MDG=M49),2.5-Regional (MDG),1
332,HTI,Haiti,1,World,1.0-Global,1
334,HMD,Heard Island and McDonald Islands,53,Australia and New Zealand (M49),2.1-Regional (SDG),0
334,HMD,Heard Island and McDonald Islands,9,Oceania (M49),2.1-Regional (SDG),0
334,HMD,Heard Island and McDonald Islands,514,Developed regions (MDG),2.5-Regional (MDG),0
334,HMD,Heard Island and McDonald Islands,1,World,1.0-Global,0
336,VAT,Holy See,39,Southern Europe (M49),2.4-Regional (M49),0
336,VAT,Holy See,513,Northern America (M49) and Europe (M49),2.1-Regional (SDG),0
336,VAT,Holy See,1,World,1.0-Global,0
336,VAT,Holy See,514,Developed regions (MDG),2.5-Regional (MDG),0
336,VAT,Holy See,150,Europe (M49),2.1-Regional (SDG),0
340,HND,Honduras,13,Central America (M49),2.4-Regional (M49),1
340,HND,Honduras,19,Americas (m49),2.4-Regional (M49),1
340,HND,Honduras,419,Latin America and the Caribbean (MDG=M49),2.1-Regional (SDG),1
340,HND,Honduras,419,Latin America and the Caribbean (MDG=M49),2.5-Regional (MDG),1
340,HND,Honduras,1,World,1.0-Global,1
340,HND,Honduras,515,Developing regions (MDG),2.5-Regional (MDG),1
348,HUN,Hungary,151,Eastern Europe (M49),2.4-Regional (M49),1
348,HUN,Hungary,1,World,1.0-Global,1
348,HUN,Hungary,513,Northern America (M49) and Europe (M49),2.1-Regional (SDG),1
348,HUN,Hungary,514,Developed regions (MDG),2.5-Regional (MDG),1
348,HUN,Hungary,150,Europe (M49),2.1-Regional (SDG),1
352,ISL,Iceland,514,Developed regions (MDG),2.5-Regional (MDG),1
352,ISL,Iceland,150,Europe (M49),2.1-Regional (SDG),1
352,ISL,Iceland,1,World,1.0-Global,1
352,ISL,Iceland,154,Northern Europe (M49),2.4-Regional (M49),1
352,ISL,Iceland,513,Northern America (M49) and Europe (M49),2.1-Regional (SDG),1
356,IND,India,34,Southern Asia (MDG=M49),2.5-Regional (MDG),1
356,IND,India,142,Asia (M49),2.4-Regional (M49),1
356,IND,India,515,Developing regions (MDG),2.5-Regional (MDG),1
356,IND,India,34,Southern Asia (MDG=M49),2.1-Regional (SDG),1
356,IND,India,62,Central Asia (M49) and Southern Asia (MDG=M49),2.1-Regional (SDG),1
356,IND,India,1,World,1.0-Global,1
360,IDN,Indonesia,35,South-eastern Asia (MDG=M49),2.5-Regional (MDG),1
360,IDN,Indonesia,142,Asia (M49),2.4-Regional (M49),1
360,IDN,Indonesia,1,World,1.0-Global,1
360,IDN,Indonesia,35,South-eastern Asia (MDG=M49),2.1-Regional (SDG),1
360,IDN,Indonesia,515,Developing regions (MDG),2.5-Regional (MDG),1
360,IDN,Indonesia,753,Eastern Asia (M49) and South-eastern Asia (MDG=M49),2.1-Regional (SDG),1
364,IRN,Iran (Islamic Republic of),34,Southern Asia (MDG=M49),2.1-Regional (SDG),1
364,IRN,Iran (Islamic Republic of),62,Central Asia (M49) and Southern Asia (MDG=M49),2.1-Regional (SDG),1
364,IRN,Iran (Islamic Republic of),142,Asia (M49),2.4-Regional (M49),1
364,IRN,Iran (Islamic Republic of),34,Southern Asia (MDG=M49),2.5-Regional (MDG),1
364,IRN,Iran (Islamic Republic of),1,World,1.0-Global,1
364,IRN,Iran (Islamic Republic of),515,Developing regions (MDG),2.5-Regional (MDG),1
368,IRQ,Iraq,485,Western Asia (MDG),2.5-Regional (MDG),1
368,IRQ,Iraq,1,World,1.0-Global,1
368,IRQ,Iraq,515,Developing regions (MDG),2.5-Regional (MDG),1
368,IRQ,Iraq,145,Western Asia (M49),2.1-Regional (SDG),1
368,IRQ,Iraq,747,Western Asia (M49) and Northern Africa (M49),2.1-Regional (SDG),1
368,IRQ,Iraq,142,Asia (M49),2.4-Regional (M49),1
372,IRL,Ireland,154,Northern Europe (M49),2.4-Regional (M49),1
372,IRL,Ireland,1,World,1.0-Global,1
372,IRL,Ireland,150,Europe (M49),2.1-Regional (SDG),1
372,IRL,Ireland,514,Developed regions (MDG),2.5-Regional (MDG),1
372,IRL,Ireland,513,Northern America (M49) and Europe (M49),2.1-Regional (SDG),1
833,IMN,Isle of Man,154,Northern Europe (M49),2.4-Regional (M49),0
833,IMN,Isle of Man,514,Developed regions (MDG),2.5-Regional (MDG),0
833,IMN,Isle of Man,513,Northern America (M49) and Europe (M49),2.1-Regional (SDG),0
833,IMN,Isle of Man,150,Europe (M49),2.1-Regional (SDG),0
833,IMN,Isle of Man,1,World,1.0-Global,0
376,ISR,Israel,1,World,1.0-Global,1
376,ISR,Israel,145,Western Asia (M49),2.1-Regional (SDG),1
376,ISR,Israel,514,Developed regions (MDG),2.5-Regional (MDG),1
376,ISR,Israel,747,Western Asia (M49) and Northern Africa (M49),2.1-Regional (SDG),1
376,ISR,Israel,142,Asia (M49),2.4-Regional (M49),1
380,ITA,Italy,39,Southern Europe (M49),2.4-Regional (M49),1
380,ITA,Italy,1,World,1.0-Global,1
380,ITA,Italy,514,Developed regions (MDG),2.5-Regional (MDG),1
380,ITA,Italy,150,Europe (M49),2.1-Regional (SDG),1
380,ITA,Italy,513,Northern America (M49) and Europe (M49),2.1-Regional (SDG),1
388,JAM,Jamaica,29,Caribbean (M49),2.4-Regional (M49),1
388,JAM,Jamaica,722,Small island developing States (SIDS),2.3-Other groupings,1
388,JAM,Jamaica,419,Latin America and the Caribbean (MDG=M49),2.1-Regional (SDG),1
388,JAM,Jamaica,515,Developing regions (MDG),2.5-Regional (MDG),1
388,JAM,Jamaica,19,Americas (m49),2.4-Regional (M49),1
388,JAM,Jamaica,419,Latin America and the Caribbean (MDG=M49),2.5-Regional (MDG),1
388,JAM,Jamaica,1,World,1.0-Global,1
392,JPN,Japan,142,Asia (M49),2.4-Regional (M49),1
392,JPN,Japan,753,Eastern Asia (M49) and South-eastern Asia (MDG=M49),2.1-Regional (SDG),1
392,JPN,Japan,1,World,1.0-Global,1
392,JPN,Japan,514,Developed regions (MDG),2.5-Regional (MDG),1
392,JPN,Japan,30,Eastern Asia (M49),2.1-Regional (SDG),1
832,JEY,Jersey,1,World,1.0-Global,0
832,JEY,Jersey,150,Europe (M49),2.1-Regional (SDG),0
832,JEY,Jersey,514,Developed regions (MDG),2.5-Regional (MDG),0
832,JEY,Jersey,154,Northern Europe (M49),2.4-Regional (M49),0
832,JEY,Jersey,513,Northern America (M49) and Europe (M49),2.1-Regional (SDG),0
400,JOR,Jordan,142,Asia (M49),2.4-Regional (M49),1
400,JOR,Jordan,145,Western Asia (M49),2.1-Regional (SDG),1
400,JOR,Jordan,485,Western Asia (MDG),2.5-Regional (MDG),1
400,JOR,Jordan,515,Developing regions (MDG),2.5-Regional (MDG),1
400,JOR,Jordan,747,Western Asia (M49) and Northern Africa (M49),2.1-Regional (SDG),1
400,JOR,Jordan,1,World,1.0-Global,1
398,KAZ,Kazakhstan,143,Central Asia (M49),2.1-Regional (SDG),1
398,KAZ,Kazakhstan,62,Central Asia (M49) and Southern Asia (MDG=M49),2.1-Regional (SDG),1
398,KAZ,Kazakhstan,142,Asia (M49),2.4-Regional (M49),1
398,KAZ,Kazakhstan,515,Developing regions (MDG),2.5-Regional (MDG),1
398,KAZ,Kazakhstan,1,World,1.0-Global,1
398,KAZ,Kazakhstan,135,Caucasus and Central Asia (MDG),2.5-Regional (MDG),1
398,KAZ,Kazakhstan,432,Landlocked developing countries (LLDCs),2.3-Other groupings,1
404,KEN,Kenya,738,Sub-Saharan Africa (MDG),2.5-Regional (MDG),1
404,KEN,Kenya,2,Africa (M49),2.4-Regional (M49),1
404,KEN,Kenya,515,Developing regions (MDG),2.5-Regional (MDG),1
404,KEN,Kenya,1,World,1.0-Global,1
404,KEN,Kenya,202,Sub-Saharan Africa (M49),2.1-Regional (SDG),1
404,KEN,Kenya,14,Eastern Africa (M49),2.4-Regional (M49),1
296,KIR,Kiribati,199,Least Developed Countries (LDCs),2.3-Other groupings,1
296,KIR,Kiribati,722,Small island developing States (SIDS),2.3-Other groupings,1
296,KIR,Kiribati,57,Micronesia (M49),2.4-Regional (M49),1
296,KIR,Kiribati,543,Oceania (MDG),2.5-Regional (MDG),1
296,KIR,Kiribati,543,Oceania (M49) excluding Australia and New Zealand (M49),2.1-Regional (SDG),1
296,KIR,Kiribati,9,Oceania (M49),2.1-Regional (SDG),1
296,KIR,Kiribati,1,World,1.0-Global,1
296,KIR,Kiribati,515,Developing regions (MDG),2.5-Regional (MDG),1
414,KWT,Kuwait,1,World,1.0-Global,1
414,KWT,Kuwait,485,Western Asia (MDG),2.5-Regional (MDG),1
414,KWT,Kuwait,515,Developing regions (MDG),2.5-Regional (MDG),1
414,KWT,Kuwait,145,Western Asia (M49),2.1-Regional (SDG),1
414,KWT,Kuwait,747,Western Asia (M49) and Northern Africa (M49),2.1-Regional (SDG),1
414,KWT,Kuwait,142,Asia (M49),2.4-Regional (M49),1
417,KGZ,Kyrgyzstan,62,Central Asia (M49) and Southern Asia (MDG=M49),2.1-Regional (SDG),1
417,KGZ,Kyrgyzstan,143,Central Asia (M49),2.1-Regional (SDG),1
